Date,Close_Price,Max_Temp_C,Rainfall_mm,Rolling_Rain_30d
2000-01-03,116.5,20.1,93.4,
2000-01-04,116.25,20.4,14.8,
2000-01-05,118.5999984741211,26.3,4.0,
2000-01-06,116.8499984741211,27.4,4.1,
2000-01-07,114.1500015258789,27.6,0.0,
2000-01-10,117.55000305175781,27.0,0.0,
2000-01-11,117.80000305175781,27.9,0.0,
2000-01-12,118.94999694824219,28.1,0.0,
2000-01-13,118.55000305175781,28.9,0.0,
2000-01-14,112.55000305175781,28.9,0.5,
2000-01-18,115.75,29.3,12.8,
2000-01-19,116.69999694824219,28.4,19.3,
2000-01-20,112.0,26.6,7.8,
2000-01-21,111.19999694824219,25.8,2.2,
2000-01-24,111.9000015258789,27.6,2.4,
2000-01-25,112.8499984741211,26.6,6.8,
2000-01-26,115.1500015258789,25.5,13.2,
2000-01-27,114.5999984741211,20.4,47.8,
2000-01-28,114.69999694824219,23.4,3.8,
2000-01-31,111.0999984741211,26.1,12.0,
2000-02-01,111.6500015258789,24.3,15.5,
2000-02-02,112.25,26.7,7.0,
2000-02-03,112.94999694824219,27.7,0.2,
2000-02-04,112.9000015258789,26.8,0.3,
2000-02-07,111.69999694824219,24.8,13.9,
2000-02-08,108.55000305175781,21.2,21.7,
2000-02-09,107.69999694824219,22.5,18.6,
2000-02-10,108.75,24.8,4.6,
2000-02-11,108.80000305175781,25.6,3.4,
2000-02-14,105.0,27.5,0.3,330.4
2000-02-15,105.80000305175781,27.6,0.0,237.0
2000-02-16,104.94999694824219,28.2,6.3,228.49999999999997
2000-02-17,105.3499984741211,24.0,13.5,237.99999999999997
2000-02-18,104.30000305175781,22.3,3.9,237.79999999999998
2000-02-22,103.19999694824219,26.0,0.9,238.7
2000-02-23,103.5999984741211,27.3,0.4,239.1
2000-02-24,101.75,27.8,0.0,239.1
2000-02-25,98.80000305175781,28.1,5.6,244.7
2000-02-28,101.6500015258789,27.3,3.8,248.5
2000-02-29,99.9000015258789,26.7,7.0,255.0
2000-03-01,101.1500015258789,25.6,0.8,243.0
2000-03-02,105.0999984741211,25.9,0.4,224.1
2000-03-03,104.3499984741211,25.7,0.3,216.6
2000-03-06,106.30000305175781,27.5,0.3,214.7
2000-03-07,108.4000015258789,27.8,3.6,215.89999999999998
2000-03-08,107.4000015258789,23.7,8.2,217.3
2000-03-09,107.19999694824219,23.8,5.6,209.7
2000-03-10,106.0999984741211,22.6,10.1,172.0
2000-03-13,106.0,25.0,1.0,169.2
2000-03-14,102.55000305175781,25.3,0.2,157.4
2000-03-15,103.0,25.2,0.7,142.6
2000-03-16,106.3499984741211,25.3,9.4,145.0
2000-03-17,106.0999984741211,25.1,12.1,156.9
2000-03-20,103.0999984741211,25.7,1.4,158.0
2000-03-21,103.75,24.7,0.6,144.7
2000-03-22,105.80000305175781,25.7,0.0,123.0
2000-03-23,102.0999984741211,26.0,0.0,104.4
2000-03-24,103.1500015258789,26.0,0.0,99.8
2000-03-27,103.1500015258789,26.6,0.1,96.5
2000-03-28,104.5,27.3,3.6,99.8
2000-03-29,103.9000015258789,25.9,11.8,111.6
2000-03-30,103.5,24.9,2.2,107.5
2000-03-31,103.69999694824219,25.5,2.7,96.7
2000-04-03,102.0999984741211,23.3,0.0,92.80000000000001
2000-04-04,100.0999984741211,22.7,0.0,91.9
2000-04-05,101.80000305175781,24.0,0.0,91.5
2000-04-06,100.8499984741211,24.1,0.0,91.5
2000-04-07,99.5999984741211,24.0,0.1,86.0
2000-04-10,96.6500015258789,26.1,0.0,82.2
2000-04-11,96.55000305175781,25.3,0.1,75.3
2000-04-12,94.19999694824219,25.9,0.6,75.10000000000001
2000-04-13,94.69999694824219,26.3,2.1,76.8
2000-04-14,92.6500015258789,26.4,0.7,77.2
2000-04-17,92.80000305175781,24.8,0.0,76.9
2000-04-18,94.05000305175781,25.0,0.1,73.39999999999999
2000-04-19,95.69999694824219,24.5,10.2,75.39999999999999
2000-04-20,97.75,25.1,0.4,70.2
2000-04-24,94.25,24.2,0.0,60.1
2000-04-25,95.5999984741211,24.8,0.0,59.1
2000-04-26,94.75,23.8,0.0,58.900000000000006
2000-04-27,94.8499984741211,23.6,0.0,58.2
2000-04-28,95.30000305175781,24.1,0.0,48.800000000000004
2000-05-01,100.30000305175781,23.8,0.2,36.9
2000-05-02,99.0999984741211,26.0,0.0,35.5
2000-05-03,94.44999694824219,26.0,0.5,35.4
2000-05-04,96.8499984741211,25.0,0.0,35.4
2000-05-05,96.8499984741211,25.5,0.0,35.4
2000-05-08,97.1500015258789,23.0,0.1,35.5
2000-05-09,97.44999694824219,25.3,0.0,35.4
2000-05-10,97.25,22.0,0.0,31.8
