Date,Location,Deaths,Perpetrator,Year
"7 January, 2024","Mass shooting, shootout",3,1 (+2),2024
"15 January, 2024","Vehicular attack, stabbing",1,18,2024
"27 January, 2024",Mass shooting,9,3,2024
"28 January, 2024",Shooting,1,1,2024
"Drone attack, 2024",3,47,"Rukban, Jordan",2024
"30 January, 2024",Bombing,4,5,2024
"6 February, 2024",Bombings,10,20+,2024
"Mass shooting, 2024",1 (+2),7,"Istanbul, Turkey",2024
"9 February, 2024",Mass shooting,25,Unknown,2024
"22 March, 2024","Mass shooting, bombing, arson",145,551,2024
"12 April, 2024","Kidnapping, execution",9,0,2024
"12–13 April, 2024","Rioting, arson, assault, shooting",4,Dozens,2024
"29 April, 2024",Mass shooting,6,1,2024
"Mass shooting, 2024",7,7,"Bamyan, Afghanistan",2024
"31 May, 2024",Stabbing,1,5 (+1),2024
"9 June, 2024","Ambush, mass shooting",9,41,2024
"Bombings, 2024",32 (+3),48,"Borno State, Nigeria",2024
"27 July, 2024",Rocket attack,12,42+,2024
"11 August, 2024",Bombing,1,11+,2024
"25 August, 2024",Mass stabbing,3,8,2024
"12 September, 2024",Mass shooting,15,6,2024
"21 November, 2024","Mass shooting, ambush",54,86,2024
"1 January, 2023",Bombing,20,30,2023
"4 January, 2023",Car bombings,35,Unknown,2023
"15 January, 2023",Bombing,17,39,2023
"25 January, 2023",Machete attack,1,4,2023
"27 January, 2023",Shooting,1,2,2023
"17 February, 2023",Mass shooting,68,Unknown,2023
"4 March, 2023",Mass shooting,10,12,2023
"2 April, 2023",Improvised explosive device bombing,1,42,2023
"5 April, 2023","Mass stabbing, Mass murder, Infanticide",4,5,2023
"6–7 April, 2023",Mass shooting,44,Unknown,2023
"16 June, 2023","Arson, stabbing",42,8,2023
"19 August, 2023",Bombing,11,2,2023
"19 August, 2023",Shooting,2,0,2023
"7 September, 2023",Shooting,64,Unknown,2023
"29 September, 2023",Suicide bombing,60,50–70,2023
"29 September, 2023",Suicide bombing,5,5–12,2023
"7 October, 2023","Shooting, Bombings",17,"Unknown (The total number of injured on 7 October is over 5,400)[93]",2023
"7 October, 2023","Massacre, Shooting, Arson, Kidnapping",22,"Unknown (The total number of injured on 7 October is over 5,400)[93]",2023
"7 October, 2023","Shooting, Bombings, Shootout, Hostage Taking",7,2,2023
"13 October, 2023",Suicide bombing,7,17,2023
"13 October, 2023",Stabbing,1,3,2023
"16 October, 2023",Mass shooting,2,1,2023
"30 November, 2023",Mass shooting,3,11,2023
"2 December, 2023",Stabbing,1,2,2023
"3 December, 2023",Bombing,4,50+,2023
"23–26 December, 2023",Massacre,198,500+,2023
