Location,Article_Count,Latitude,Longitude,Source_URL
Venezuela,669,8.0,-66.0,#
"Washington, Washington, United States",184,38.8951,-77.0364,#
Colombia,78,4.0,-72.0,#
"Gulf Of Venezuela, Venezuela (General), Venezuela",51,11.5,-71.0,#
Mexico,39,23.0,-102.0,#
"Caracas, Distrito Federal, Venezuela",28,10.5,-66.9167,#
Russia,25,60.0,100.0,#
"Texas, United States",22,31.106,-97.6475,#
Iran,22,32.0,53.0,#
Canada,22,60.0,-96.0,#
Cuba,19,22.0,-79.5,#
Panama,16,9.0,-80.0,#
Sweden,14,62.0,15.0,#
Ecuador,11,-2.0,-77.5,#
"Caribbean Sea, Belize (General), Belize",11,15.0,-75.0,#
"Palermo, Sicilia, Italy",10,38.1167,13.3667,#
"California, United States",9,36.17,-119.746,#
"Sinaloa, Tabasco, Mexico",8,18.4917,-93.75,#
"Istanbul, Istanbul, Turkey",8,41.0186,28.9647,#
"Owen Sound, Ontario, Canada",8,44.5667,-80.85,#
Costa Rica,7,10.0,-84.0,#
"Maple Ridge, Utah, United States",7,37.4664,-113.844,#
"Salt Lake, Utah, United States",7,39.1559,-112.691,#
"Utah, United States",7,40.1135,-111.854,#
"Sao Paulo, SãPaulo, Brazil",6,-23.5333,-46.6167,#
"Vancouver, British Columbia, Canada",6,49.25,-123.133,#
"Adisa, Nigeria (General), Nigeria",6,7.4333,3.45,#
"Guarulhos, SãPaulo, Brazil",5,-23.4667,-46.5333,#
"Magelang, Jawa Tengah, Indonesia",5,-7.4706,110.218,#
Nigeria,5,10.0,8.0,#
China,5,35.0,105.0,#
Turkey,5,39.059,34.9115,#
"New York, United States",5,42.1497,-74.9384,#
"Uberlandia, Minas Gerais, Brazil",4,-18.9167,-48.3,#
Uruguay,4,-33.0,-56.0,#
India,4,20.0,77.0,#
"Watauga County, North Carolina, United States",4,36.2335,-81.6998,#
"Albayrak, Van, Turkey",4,38.1445,44.2081,#
"Wiarton, Ontario, Canada",4,44.7333,-81.1333,#
"Montreal, Quebec, Canada",4,45.5,-73.5833,#
Guyana,4,5.0,-59.0,#
Germany,4,51.5,10.5,#
"Oslo, Oslo, Norway",4,59.9167,10.75,#
Peru,3,-10.0,-76.0,#
"Piaui, Minas Gerais, Brazil",3,-16.9667,-41.85,#
"Curitiba, ParanáR, Brazil",3,-25.4167,-49.25,#
"Alagoas, MaranhãBr, Brazil",3,-3.7714,-43.4081,#
"Paysandu, Paysandú12, Uruguay",3,-32.3214,-58.0756,#
