Date,Sentiment_Score,Category,Era,Source
1980-01-01,0.19341580172082157,Positive,Real Estate Mogul,Historical Archive
1980-01-08,0.46069221919374503,Positive,Real Estate Mogul,Historical Archive
1980-01-15,0.22522394005105792,Positive,Real Estate Mogul,Historical Archive
1980-01-22,0.4707323642610757,Positive,Real Estate Mogul,Historical Archive
1980-01-29,0.17311972676921203,Positive,Real Estate Mogul,Historical Archive
1980-02-05,0.06895614214753498,Positive,Real Estate Mogul,Historical Archive
1980-02-12,0.3228007975122601,Positive,Real Estate Mogul,Historical Archive
1980-02-19,0.13979805155907574,Positive,Real Estate Mogul,Historical Archive
1980-02-26,0.15834269971022932,Positive,Real Estate Mogul,Historical Archive
1980-03-04,0.38147701434266174,Positive,Real Estate Mogul,Historical Archive
1980-03-11,0.18655879339991666,Positive,Real Estate Mogul,Historical Archive
1980-03-18,0.1612989565903496,Positive,Real Estate Mogul,Historical Archive
1980-03-25,0.11045821628684005,Positive,Real Estate Mogul,Historical Archive
1980-04-01,0.05969508552154565,Positive,Real Estate Mogul,Historical Archive
1980-04-08,0.2709718955967627,Positive,Real Estate Mogul,Historical Archive
1980-04-15,0.21702753964991917,Positive,Real Estate Mogul,Historical Archive
1980-04-22,0.3783144487732577,Positive,Real Estate Mogul,Historical Archive
1980-04-29,0.05037673247211802,Positive,Real Estate Mogul,Historical Archive
1980-05-06,0.2538169068189055,Positive,Real Estate Mogul,Historical Archive
1980-05-13,0.29928942906264905,Positive,Real Estate Mogul,Historical Archive
1980-05-20,0.07116189687563165,Positive,Real Estate Mogul,Historical Archive
1980-05-27,0.3332770347605457,Positive,Real Estate Mogul,Historical Archive
1980-06-03,0.3810067355520709,Positive,Real Estate Mogul,Historical Archive
1980-06-10,0.20877044534522485,Positive,Real Estate Mogul,Historical Archive
1980-06-17,0.17196717543929707,Positive,Real Estate Mogul,Historical Archive
1980-06-24,0.1436646736069952,Positive,Real Estate Mogul,Historical Archive
1980-07-01,0.205600871647363,Positive,Real Estate Mogul,Historical Archive
1980-07-08,0.24280387209406262,Positive,Real Estate Mogul,Historical Archive
1980-07-15,0.20226683947710222,Positive,Real Estate Mogul,Historical Archive
1980-07-22,0.21219618009743796,Positive,Real Estate Mogul,Historical Archive
1980-07-29,0.1582257248243647,Positive,Real Estate Mogul,Historical Archive
1980-08-05,0.4090108241672959,Positive,Real Estate Mogul,Historical Archive
1980-08-12,0.11130290620163197,Positive,Real Estate Mogul,Historical Archive
1980-08-19,0.18237769611828333,Positive,Real Estate Mogul,Historical Archive
1980-08-26,0.1472338050001809,Positive,Real Estate Mogul,Historical Archive
1980-09-02,0.07148259890229502,Positive,Real Estate Mogul,Historical Archive
1980-09-09,0.12972049711346717,Positive,Real Estate Mogul,Historical Archive
1980-09-16,0.14770549026059757,Positive,Real Estate Mogul,Historical Archive
1980-09-23,0.27843892617882143,Positive,Real Estate Mogul,Historical Archive
1980-09-30,0.2260418010101735,Positive,Real Estate Mogul,Historical Archive
1980-10-07,0.0643057890277107,Positive,Real Estate Mogul,Historical Archive
1980-10-14,0.21222761656548295,Positive,Real Estate Mogul,Historical Archive
1980-10-21,0.21094813552602287,Positive,Real Estate Mogul,Historical Archive
1980-10-28,0.215726137695112,Positive,Real Estate Mogul,Historical Archive
1980-11-04,0.08188543816178882,Positive,Real Estate Mogul,Historical Archive
1980-11-11,0.1095227637752317,Positive,Real Estate Mogul,Historical Archive
1980-11-18,0.22437615706801572,Positive,Real Estate Mogul,Historical Archive
1980-11-25,0.2841114738773118,Positive,Real Estate Mogul,Historical Archive
1980-12-02,0.44670953271106195,Positive,Real Estate Mogul,Historical Archive
1980-12-09,0.23786311696016404,Positive,Real Estate Mogul,Historical Archive
1980-12-16,0.235118961942401,Positive,Real Estate Mogul,Historical Archive
1980-12-23,0.24763819815027283,Positive,Real Estate Mogul,Historical Archive
1980-12-30,0.1438636265563411,Positive,Real Estate Mogul,Historical Archive
1981-01-06,0.16734138597561055,Positive,Real Estate Mogul,Historical Archive
1981-01-13,0.1078616033520769,Positive,Real Estate Mogul,Historical Archive
1981-01-20,0.09804840906059945,Positive,Real Estate Mogul,Historical Archive
