Region,Group Name,Wiki_Link,Status
International,Main page,https://en.wikipedia.org/wiki/Main_Page,Active
International,"
(Top)
",https://en.wikipedia.org#,Active
International,"

1
Drug cartels

",https://en.wikipedia.org#Drug_cartels,Active
International,"

1.1
Latin America

",https://en.wikipedia.org#Latin_America,Active
International,"

1.1.1
Brazil

",https://en.wikipedia.org#Brazil,Active
International,"

1.1.1.1
Active

",https://en.wikipedia.org#Active,Active
International,"

1.1.2
Venezuela

",https://en.wikipedia.org#Venezuela,Active
International,"

1.1.2.1
Active

",https://en.wikipedia.org#Active_2,Active
International,"

1.1.3
Colombia

",https://en.wikipedia.org#Colombia,Active
International,"

1.1.3.1
Active

",https://en.wikipedia.org#Active_3,Active
International,"

1.1.3.2
Defunct

",https://en.wikipedia.org#Defunct,Active
International,"

1.1.4
Ecuador

",https://en.wikipedia.org#Ecuador,Active
International,"

1.1.4.1
Active

",https://en.wikipedia.org#Active_4,Active
International,"

1.1.5
Mexico

",https://en.wikipedia.org#Mexico,Active
International,"

1.2
Asia

",https://en.wikipedia.org#Asia,Active
International,"

2
North American organized crime

",https://en.wikipedia.org#North_American_organized_crime,Active
International,"

2.1
Canada

",https://en.wikipedia.org#Canada,Active
International,"

2.2
United States

",https://en.wikipedia.org#United_States,Active
International,"

2.2.1
American Mafia

",https://en.wikipedia.org#American_Mafia,Active
International,"

2.2.1.1
Active

",https://en.wikipedia.org#Active_5,Active
International,"

2.2.1.2
Defunct

",https://en.wikipedia.org#Defunct_2,Active
International,"

2.2.2
Jewish mafia

",https://en.wikipedia.org#Jewish_mafia,Active
International,"

2.2.3
African-American organized crime

",https://en.wikipedia.org#African-American_organized_crime,Active
International,"

2.2.4
Irish Mob

",https://en.wikipedia.org#Irish_Mob,Active
International,"

3
European organized crime

",https://en.wikipedia.org#European_organized_crime,Active
International,"

3.1
Italian organized crime

",https://en.wikipedia.org#Italian_organized_crime,Active
International,"

3.2
British organised crime ""firms""

","https://en.wikipedia.org#British_organised_crime_""firms""",Active
International,"

3.3
Balkan organized crime

",https://en.wikipedia.org#Balkan_organized_crime,Active
International,"

4
Post-Soviet organized crime

",https://en.wikipedia.org#Post-Soviet_organized_crime,Active
International,"

4.1
Caucasian crime syndicates

",https://en.wikipedia.org#Caucasian_crime_syndicates,Active
International,"

4.2
Central Asian crime syndicates

",https://en.wikipedia.org#Central_Asian_crime_syndicates,Active
International,"

5
Asian organized crime

",https://en.wikipedia.org#Asian_organized_crime,Active
International,"

5.1
East Asian criminal organizations

",https://en.wikipedia.org#East_Asian_criminal_organizations,Active
International,"

5.1.1
Korean criminal organizations

",https://en.wikipedia.org#Korean_criminal_organizations,Active
International,"

5.1.2
Japanese Yakuza

",https://en.wikipedia.org#Japanese_Yakuza,Active
International,"

5.1.3
Chinese Triads

",https://en.wikipedia.org#Chinese_Triads,Active
International,"

5.2
Southeast Asian criminal organizations

",https://en.wikipedia.org#Southeast_Asian_criminal_organizations,Active
International,"

5.2.1
Thai gangs

",https://en.wikipedia.org#Thai_gangs,Active
International,"

5.2.2
Cambodian crime gangs

",https://en.wikipedia.org#Cambodian_crime_gangs,Active
International,"

5.2.3
Indonesian crime gangs

",https://en.wikipedia.org#Indonesian_crime_gangs,Active
International,"

5.2.4
Malaysian crime gangs

",https://en.wikipedia.org#Malaysian_crime_gangs,Active
International,"

5.2.5
Filipino crime gangs

",https://en.wikipedia.org#Filipino_crime_gangs,Active
International,"

5.2.6
Vietnamese Xã Hội Đen

",https://en.wikipedia.org#Vietnamese_Xã_Hội_Đen,Active
International,"

5.3
South Asian criminal organizations

",https://en.wikipedia.org#South_Asian_criminal_organizations,Active
International,"

5.3.1
Indian mafia

",https://en.wikipedia.org#Indian_mafia,Active
International,"

5.3.2
Sri Lankan criminal groups

",https://en.wikipedia.org#Sri_Lankan_criminal_groups,Active
International,"

5.3.3
Pakistani mafia

",https://en.wikipedia.org#Pakistani_mafia,Active
International,"

5.4
Middle Eastern criminal organizations

",https://en.wikipedia.org#Middle_Eastern_criminal_organizations,Active
International,"

5.4.1
Iranian mafia

",https://en.wikipedia.org#Iranian_mafia,Active
International,"

5.4.2
Israeli mafia

",https://en.wikipedia.org#Israeli_mafia,Active
International,"

5.4.3
Lebanese mafia

",https://en.wikipedia.org#Lebanese_mafia,Active
International,"

5.4.4
Turkish mafia

",https://en.wikipedia.org#Turkish_mafia,Active
International,"

5.4.5
Yemeni mafia

",https://en.wikipedia.org#Yemeni_mafia,Active
International,"

6
Australian organized crime

",https://en.wikipedia.org#Australian_organized_crime,Active
