Group Name,Wiki_Link,Est. Revenue,Membership,Founded,Criminal Activities
Bolivian drug cartels,https://en.wikipedia.org/wiki/Narcotics_in_Bolivia,Unknown,Unknown,Unknown,Unknown
Santa Cruz Cartel,https://en.wikipedia.org/wiki/Santa_Cruz_Cartel,Unknown,Unknown,Unknown,"Drug trafficking, money laundering, murder, car bombing, assassination..."
Peruvian drug cartels,https://en.wikipedia.org/wiki/Illegal_drug_trade_in_Peru,Unknown,Unknown,Unknown,Unknown
Guatemalan drug cartels,https://en.wikipedia.org/wiki/Illegal_drug_trade_in_Guatemala,Unknown,Unknown,Unknown,Unknown
Honduran drug cartels,https://en.wikipedia.org/wiki/Illegal_drug_trade_in_Honduras,Unknown,Unknown,Unknown,Unknown
Cartel of the Suns,https://en.wikipedia.org/wiki/Cartel_of_the_Suns,Unknown,Unknown,Unknown,"Drug trafficking, terrorism, narcoterrorism, terrorism financing, smuggling, illegal mining and mone..."
Clan del Golfo,https://en.wikipedia.org/wiki/Clan_del_Golfo,Unknown,"9,000–14,000",Unknown,Unknown
La Guajira Cartel,https://en.wikipedia.org/wiki/La_Guajira_Cartel,Unknown,Unknown,Unknown,"Drug trafficking, extortion, murder, money laundering, terrorism, robbery, kidnapping, and arms traf..."
Cali Cartel,https://en.wikipedia.org/wiki/Cali_Cartel,Unknown,"2,500 – 6,000","Cali, Valle del Cauca, Colombia","Drug trafficking, bribery, money laundering, racketeering..."
Medellín Cartel,https://en.wikipedia.org/wiki/Medell%C3%ADn_Cartel,Unknown,"70,000–100,000",Pablo Escobar †Jorge Ochoa VásquezJuan Ochoa VásquezJosé Rodríguez Gacha † Carlos Lehder,"Drug trafficking, arms trafficking, terrorism, narcoterrorism, assassinations, intimidation, kidnapp..."
Norte del Valle Cartel,https://en.wikipedia.org/wiki/Norte_del_Valle_Cartel,Unknown,Unknown,Unknown,"Drug trafficking, murder, money laundering, gun-running and human trafficking..."
North Coast Cartel,https://en.wikipedia.org/wiki/North_Coast_Cartel,Unknown,Unknown,Unknown,"Drug trafficking, money laundering, gun-running, terrorism, murder, bootlegging and prostitution..."
Leticia Cartel,"https://en.wikipedia.org/wiki/Leticia,_Amazonas#1970s",Unknown,Unknown,Unknown,Unknown
Gulf Cartel,https://en.wikipedia.org/wiki/Gulf_Cartel,Unknown,"50,000–100,000","Juan Nepomuceno Guerra, Juan García Ábrego","Drug trafficking, money laundering, extortion, kidnapping, human trafficking, people smuggling, robb..."
